类别	新闻标题	新闻内容
体育	小斯号召学习热火队精神　放言尼克斯将全力争冠	雅虎体育讯　北京时间７月２１日，据美媒体报道，尼克斯队球员阿玛尔－斯塔德迈尔近日在接受媒体采访的时候号召球队学习热火队冲击总冠军的那种专注精神，同时放言尼克斯队在新赛季只有一个目标，那就是冲击总冠军。Ｋ顾德迈尔昨天在拉斯维加斯观看了尼克斯队的夏季联赛比赛，他接受了电视媒体的采访。小斯在接受采访的过程当中特意提到了２０１１－１２赛季夺得ＮＢＡ总冠军的热火队，赞扬了他们的那种目标直指总冠军的霸气和专注度，小斯还表示，尼克斯队在这一点上可以向热火队学习，尼克斯队也应该像热火那样，以他们那样的方式来对待接下来的这个赛季。！叭然鸲佣源比赛是非常严肃认真的，同时他们也认为，赛季不夺冠就是白白浪费了一个赛季，他们这种永争第一的精神的确令人赞赏。”斯塔德迈尔说道，“我们必须也要具备同样的那种霸气来对待新赛季，得不到总冠军就算是我们的失败。”Ｐ氯季里，小斯将无法再与林书豪联手冲击总冠军了，因为尼克斯队选择不匹配火箭对林书豪的报价之后，林书豪已经正式加盟了火箭队。对此小斯感到有些遗憾。“上个赛季对于林书豪来说是很棒的一个赛季。”小斯说道，“他为我们球队做了相当不错的工作，特别是在我和安东尼受伤期间，他在很大程度上激活了球队，他让我们回到了我们的正确轨道之上，我们把那种动能带到了季后赛当中。在他打出那么多出色的比赛之后，我觉得他是完全配得上火箭队开出的那份合同的。”Ｐ∷乖诮邮懿煞玫墓程当中还谈及了自己能否与卡梅隆－安东尼共存的问题，他认为之前之所以与安东尼配合存在点问题，主要原因是没有进行充分的磨合。“首先，我们必须得在一起打一个完整的赛季，先还得有一个完整的训练营在一起进行磨合。”小斯说道，“然后伍德森主教练能够把他的全面战术打法贯彻到攻防两端，我们可以继续在一起进行训练和磨合，这样我们就可以促成化学反应，打得更好了。”
体育	低级失误？诺伊尔殊死一搏！　过半场成历史第４人	雅虎体育讯　面对“大赛克星”意大利，德国队似乎被夺冠的压力和历史战绩所压垮，之前比赛中的犀利进攻当然无存，而一度令人放心的防线也在比赛中接连失误，被对手早早取得２球领先优势。在这场进攻无力、防守不稳的比赛中，德国队全队几无亮点。但在比赛中奋战到最后一刻的门神诺伊尔，仍然令无数人记忆深刻，在这支技术出众、才华横溢但却缺少战斗精神的德国队中，只有他像一个真正的斗士，２个失球和下半场的那次意外失误都不能掩盖他的光芒。＞＞更多报道进入２０１２欧洲杯专题Ｊ率瞪希这场比赛诺伊尔的表现只能算是合格。在上半场比赛中，面对蒙托利沃和卡萨诺的两脚紧贴门柱的远射，诺伊尔牢牢的将皮球扑住，这体现了他本场比赛的不错状态。但在面对巴洛特利头顶脚踢的两个进球时，球门前的诺伊尔颇有些“听天由命”的意思，表现中规中矩的他没有展现出“逆天级”的表现，德国队在上半场便陷入了２球落后的境地。Ｆ叫亩论，诺伊尔对上半场的两个失球不负任何的责任，是德国队后防线的两次失误才给了对手如此的射门良机的。但在这样关键的较量中，守门员的个人发挥、尤其是“逆天级”的表现更是对球队的一剂强心针。相信看过本场比赛的球迷们，都会对意大利门神布冯的出色发挥赞不绝口，他站在球门，无形中就是对德国球员的一种警告，德国队员在面对他的时候甚至都会有心理阴影。而布冯的稳健也给意大利的后卫们带来了信心，有了布冯，意大利球员在防守中更放得开手脚，博努奇、德罗西们才敢一次又一次的在禁区内飞铲。５当比赛进入下半场后，诺伊尔似乎又重新找回了信心，他的存在使得德国队敢于全面压上、大胆进攻。比赛中诺伊尔多次出现在了大禁区外的位置接应队友，他的大范围跑动也让德国队可以投入更多的兵力去进攻。比赛第７２分钟，诺伊尔在本方底线附近接队友回传差点“玩火自焚”，幸好德国门神第二反应极快将球破坏出界，这才没有给迪纳塔莱偷袭得手的机会。这个球虽然是诺伊尔的失误，但这也体现了德国门神良好的心理状态，他重新成为了德国球门前“一夫当关”的门神。Ｋ孀疟热的进行，诺伊尔的表现越发精彩。面对意大利人的多次单刀威胁，门前的诺伊尔就像是一堵橙色的墙，意大利人多次良机都无法把握，失去了杀死悬念的机会。比赛最后阶段，诺伊尔已经成为了球队的一名中后卫，这位身披橙色战袍的德国门神，此时已经从球门前的高墙变成了半场的大坝，无论意大利人如何尝试，都无法逾越诺伊尔死守的中场线。诺伊尔也成为了自１９８０年以来第４位在对方半场触球的欧洲杯门将。Ｓ腥怂担德国队屡屡在关键时刻输球，是因为球队缺少一位精神领袖，缺少一位像当年卡恩、奥根塔勒、马特乌斯这样的硬汉。但在看到诺伊尔今天的表现后，德国球迷可以欣慰的告诉自己，虽然球队输球了，但德国终于赢得了一位球场领袖。在拜仁的欧冠决赛中，是诺伊尔，在球队无人敢罚点球的时候主动上阵并操刀命中。今天，又是诺伊尔，在球队全面失常的情况下试图用自己的努力帮助球队逆转局面。也许，当诺伊尔在球场上重现卡恩当年霸气的那一天，才是德国队重回巅峰的时候。
体育	阿尔滨历史最大牌驾临　巴萨铁腰欲中超证明自己	７月６日，大连阿尔滨俱乐部在巴黎与塞杜·凯塔正式签订了一份为期两年半的合约。至此，凯塔就成为了大连阿尔滨的队员，他也是阿尔滨历史上的最大牌球员。Ｈ天努力，终于拿下＃吩拢橙眨李明动身前往法国，为争取能够签下凯塔做最后的努力，经过了三天的艰苦谈判，凯塔终于同意７月６日在合同上签字，真正成为大连阿尔滨的队员！在签下凯塔后，李明本人也很兴奋：“非常高兴凯塔加盟大连阿尔滨，他是我们所需要的球员。正如主教练斯塔诺所评价的，凯塔既不是以前的顶级球员，也不是未来的顶级球员，而是名现在的世界一线球员，希望他能尽快融入球队，带领阿尔滨赢得更多的比赛。　”０⒍滨签下凯塔并没有为其支付转会费，因为按照凯塔之前和巴塞罗那俱乐部的合约，如果他在赛季中的出场率没有达到５０％的话，那么凯塔就可以自由转会。　２０１１－２０１２赛季，凯塔为巴塞罗那多线作战，西甲、欧冠、欧洲超级杯、国王杯、西班牙超级杯和世俱杯合计比赛６４场，总计时间为５７６０分钟，凯塔代表球队出场２１６７分钟，没有达到５０％的出场时间，因此他在今年夏天可以以自由身加盟大连阿尔滨。？塔期待在中超证明自己Ｔ谇┰贾后，凯塔并没有和李明一起回到大连，而是先返回了马里。按照计划，凯塔将会在１６日动身，最终抵达大连的时间将会是７月１８日。在和李明分开的时候，凯塔通过李明转达了他对大连球迷的问候。凯塔表示，他本人对来到中国充满期待，他希望在另一块球场上证明自己，并与球队一道取得更好的成绩。一周之前，凯塔已经来过一次大连，他已经对这座城市有了一些认识，并且对中国很有兴趣。现在，等他处理好自己的事情之后，就要来到大连，并且在这里生活两年半的时间。对于中超，凯塔同样充满期待，他已经知道德罗巴、阿内尔卡这样的大牌球员加盟了中超，他知道这个联赛正在吸引着越来越多的大牌球员的注意。所以，他在这个夏天愿意放弃巴萨给他提供的续约合同，转而加盟中超。他本人也有信心在中超带领阿尔滨队取得好成绩！
体育	ＮＢＡ交易汇总：湖人摘小奥多姆　黄蜂挽留小戈登	雅虎体育讯　北京时间６月２９日消息，ＮＢＡ选秀大会今天进行，联盟今天也有很多交易动向，以下是今天ＮＢＡ的交易流言汇总：Ｌ阳向洛佩斯和布鲁克斯开出报价合同５钡厥奔渲芩模菲尼克斯太阳正式决定向队中的球员罗宾－洛佩斯和阿隆－布鲁克斯开出了报价合同，这样洛佩斯和布鲁克斯将会成为正式自由球员，太阳有权利匹配任何球队开出的合同利用优先权留下这两名球员。
体育	关键数据见证卡西伟大　生涯６战决赛均零封对手	雅虎体育讯　布冯和卡西谁更伟大？至少从数据上来看，卡西已经可以远远甩开布冯了。在欧洲杯决赛中，布冯被西班牙灌了四个球，卡西则零封意大利。而且除了丰田杯、欧洲超级杯、西班牙超级杯等靠一场或两场比赛就定胜负的杯赛决赛之外，卡西职业生涯还从未在赛会制杯赛决赛中丢过球。在６次参加杯赛决赛中，圣伊格尔全都零封对手。＞＞更多报道进入２０１２欧洲杯专题Ｔ谂分薇中，卡西两次参加决赛。０８年，德国在圣伊格尔面前无能为力。今年，郁闷的人又变成了卡萨诺和巴洛特利。在世界杯中，卡西在２０１０年零封荷兰。他提前出击化解了罗本的单刀球，这是斗牛士军团能撑到加时绝杀的关键所在。Ｔ诰憷植可涯中，卡西一共踢了３场杯赛决赛。在９９／００赛季，卡西以首发身份代表皇马踢欧冠决赛。当时还身穿２５号球衣的圣伊格尔，帮助皇马３比０轻松战胜了瓦伦西亚夺冠。０１／０２赛季欧冠决赛中，皇马上半场２比１领先勒沃库森。首发门将塞萨尔在第６８分钟因伤被卡西换下，圣伊格尔在终场前连续３次扑出德国球队的必进球，并帮助皇马赢得了迄今为止最后一个欧冠奖杯。Ｔ冢保埃１１赛季国王杯决赛中，卡西又完封被视为史上最强队的巴塞罗那。在下半场中，卡西曾在６分钟内连续扑出西班牙三个必进球，这才使得皇马坚持到了加时赛上演绝杀的时刻。在０１／０２赛季和０３／０４赛季，皇马都输掉了国王杯决赛，不过当时出场的门将不是卡西而是塞萨尔。
体育	维拉蒂：自豪并肩伊布拉维齐　感谢两名帅赏识	雅虎体育讯　北京时间７月１８日晚间，巴黎圣日尔曼为新援维拉蒂召开了加盟新闻发布会。维拉蒂表示，他很高兴有机会和伊布、帕斯托雷和拉维齐等大牌球星共事，这是他向顶级球星学习的好机会。维拉蒂表示，皮尔洛是他的效仿对象，但他和皮尔洛的差距很悬殊。０屠枋ト斩曼早在７月１６日就宣布了维拉蒂加盟的消息。７月１７日，维拉蒂出现在巴黎圣日尔曼的训练场上。“昨天的训练给我留下了深刻的印象，我和那些以前只能在电视上看到的球员一起训练，这让我动力十足，让我感到骄傲。”维拉蒂表示，他要回报高层信任。“年轻球员加盟欧洲豪门并不寻常，我会竭尽全力回报俱乐部高层的信任。我和卡洛－安切洛蒂第一次见面也很顺利，我很高兴他能一直关注着我的表现。”Ｎ拉蒂引起了尤文图斯等很多意大利俱乐部的关注，但真正高价求购的只有巴黎圣日尔曼。在新闻发布会中，维拉蒂透露了转会细节。“海外俱乐部通常会更关注年轻球员。在我的转会中，我收到了巴黎圣日尔曼的邀请，很快就做出了加盟的决定。”维拉蒂表示，“我很高兴有机会在法国证明意大利年轻球员的能力。和其他加盟巴黎圣日尔曼的大牌球星不同，我在这里还是无名小卒。不过，我想尽快证明自身才华。”Ｎ拉蒂很有才华，他也很谦虚。“我才１９岁，我会竭尽全力给球队做出贡献。我期待在球场上证明自身才华。能和伊布、帕斯托雷和拉维齐等球员并肩作战，肯定让人激动。对我来说，能向他们讨教是件很棒的事。一段全新的冒险开始了，我期待法甲尽快开幕。在国家队集训时，普兰德利没有给我特别的建议。不过，我要感谢他给我集训的机会。现在，我加盟了一家竞争非常激烈的俱乐部，这会促进我不断的成长。”Ｕ攵苑甲联赛，维拉蒂坦言他了解不多，“我只是从媒体上了解到法甲。这是一个重视身体力量的联赛，正在全速发展。现在，巴黎圣日尔曼即将迎来一个辉煌的赛季，我希望俱乐部届时能成为新赛季的主角。”有意大利媒体把维拉蒂比作新皮尔洛，但这位年轻人谦虚的表示，“大家把我比作‘新皮尔洛’，我很高兴，因为皮尔洛是足坛最佳中场之一。我会尝试模仿他。想达到皮尔洛的水准，我还有很长的路要走。”＞憷植恐飨阿尔赫莱菲表示，“我很高兴能和维拉蒂、莱昂纳多一起在这里和媒体见面。我很高兴的宣布维拉蒂加盟巴黎圣日尔曼。维拉蒂是位年轻人，他代表着巴黎圣日尔曼的未来，也是意大利队的未来。我们的目标就是招募年轻的天才球员，维拉蒂就是位很有才华的年轻人。我们祝愿维拉蒂在巴黎圣日尔曼拥有一个光辉的未来。”
体育	２０１２选秀榜眼诞生！山猫２号签选吉尔克里斯特	雅虎体育讯　北京时间６月２９日，一年一度的ＮＢＡ选秀大会在布鲁克林拉开帷幕，山猫在第二顺位选中状元戴维斯的大学队友，迈克尔－基德－吉尔克里斯特。Ｂ蹩硕－基德－吉尔克里斯特Ｎ恢茫盒∏胺纨Ｉ砀撸海冻撸庚Ｌ逯兀海玻常嘲觚Ｄ炅洌海保庚Ｑ校：肯塔基大学Ｗ魑准状元戴维斯的队友，吉尔克里斯特的风头可一点也不比戴维斯弱。在过去一个月的ＥＳＰＮ模拟选秀中，吉尔克里斯特长时间占据着榜眼位置。９去的赛季吉尔克里斯特场均数据是１２分、７．６篮板，投篮命中率４８．６％，尽管在外线命中率上不足三成，但吉尔克里斯特最擅长的就是冲击篮筐，在高速度的快攻闪电战中，他的天赋和潜能可以得到充分的发挥。如果单排今年参加选秀的球员天赋值，那么吉尔克里斯特绝对可以进入前５行列。８值得称赞的是，虽然吉尔克里斯特只是一年级新生，但他身上具备了领袖的气质，他的领导能力在今年ＮＣＡＡ锦标赛期间表现得非常明显。出色的打关键球能力、强硬的心态，无穷的动力都让吉尔克里斯特现在的选秀前景直追队友安东尼－戴维斯。４送饧尔克里斯特也是一个个性鲜明的球员，他可以为一支球队的更衣室补充韧性和赢球的态度。在球场上他总是有无穷无尽的动力。防守端吉尔克里斯特的亮点也很多，比如他顽强、身体化的打法，还有篮板方面也相当不错。Ｏ衷诩尔克里斯特唯一明显的不足就是进攻手段需要更丰富一些，特别是外围投篮上。
体育	普约尔比利亚缺席比帅首秀　呼吸机提前恢复训练	雅虎体育讯　当地时间７月２４日，比拉诺瓦将会第一次以巴萨主帅的身份亮相于赛场上，红蓝军团将会在友谊赛中客场对阵汉堡。不过据《每日体育报》透露，普约尔、比利亚和丰塔斯三人将不会参加这场比赛。Ｕ馊名球员，都基本从重伤中恢复了过来。不过为了确保万无一失，他们将不会随队出征汉堡，而是会留在大本营继续进行康复训练。据《每日体育报》报道称，比利亚将会在１０天内得到队医的复出许可，并且在对阵布加勒斯特星队和曼联的友谊赛中伤愈归来。３了上述三名从重伤中康复过来的球员之外，昆卡和蒂亚戈也将缺席这场比赛，目前他们都有伤在身。昆卡不久前进行了手术，蒂亚戈也因伤无缘伦敦奥运会。不过比拉诺瓦也得到了一个好消息，上赛季末锁骨骨折的阿尔维斯已经得到了队医的复出批准。３了伤病号之外，效力于巴萨的西班牙国脚们也将缺席这场热身赛。按照球队规定，所有西班牙国脚要在７月３０日归队报到。不过其中很多人已经对假期感觉有些无聊了，哈维就是最典型的例子。据《每日体育报》透露，哈维已经在私人体能师的指导下开始了恢复性训练，呼吸机希望能在新赛季开始就找到最佳状态。Ｎ宕笊嗽比毕比拉诺瓦首演，西班牙国脚们也无法参赛，巴萨一队严重缺人。据《每日体育报》透露，比拉诺瓦将不得不带上一批Ｂ队球员。除了穆涅萨、巴尔特拉这些刚刚升入一队的年轻人之外，比拉诺瓦还会招入Ｂ队右边锋基克－费梅尼亚。
体育	欧洲杯１０大转会红人：巴神领衔　９０后妖星遭哄抢	雅虎体育讯　２０１２年欧洲杯已经落下帷幕，西班牙４－０击败意大利卫冕成功，再度登上欧洲之巅，而回顾这场持续近一个月的战役，有些球员表现惊艳，超出预想的范围之内，在欧洲杯这样的大舞台上闪光，那这样的球员必会受到豪门俱乐部的关注，历届皆是如此。现雅虎体育为您盘点本届欧洲杯的１０大转会红人，让我们一睹众星风采。＃薄ⅰ“吐逄乩Ｌ焓褂肽Ч砑结一身的巴洛特利，在本届欧洲杯上把魔鬼的一面收起，虽然首战西班牙他面临单刀球时思考了人生，但这之后巴神一发不可收，与爱尔兰一战打入惊世绝钩，对英格兰罚进点球，对德国梅尔二度，有着如此惊艳表现的巴神也成了众豪门追逐的对象，经纪人拉伊奥拉收到了很多球会的邮件，但巴神却摇摇头：“曼城球迷很爱我，没有离开打算。”
体育	有可能被裁５球员：布兰德工资高　慈世平难逃厄运	雅虎体育讯　北京时间６月２７日消息，ＮＢＡ去年夏天给每个球队一个特赦名额，各支球队可以裁掉队中的一名球员，且不占用工资空间，这也是很多球队清理工资空间的机会。去年夏天已经有几支球队使用了这个特赦条款，今年夏天还会有２０多支球队可以利用这个条款来进行运作。今天《露天看台体育》评出了最有可能会被裁掉的五名球员：０６顿－布兰德，费城７６人＞菝拦《纽约时报》报道，布兰德最有可能在今年夏天被７６人裁掉，３３岁的布兰德上赛季场均只得１１．０分７．１个篮板１．６次封盖，而布兰德的合同要到１３年结束，他下赛季的工资高达１８００万美元，他甚至超过了队中核心伊戈达拉两倍。布兰德职业生涯场均可以得１８分９．５个篮板２次封盖，布兰德曾经是全联盟最优秀的大前锋之一，但是现在他已经老了，７６人很可能会把这个名额用在他身上。
体育	鲁能三名新援下周到位　欧洲杯两射手被间接否定	雅虎体育讯　战绩不佳让泰山队主帅滕卡特感受到了极大的压力，他除了祈求上帝能拉一把之外，还在急切地盼望着新外援赶紧现身救火。从滕卡特赛前的表态来看，如果一切顺利，或许鲁能的三名新外援在下周就能亮相了。Ｔ谔讣叭绾伟谕涯壳暗睦Ь质保滕卡特首先提到的就是外援，“我希望下周新外援就能到位。那样，我们就可以尽快让外援进行磨合，准备下一轮主场与上海申鑫的比赛。”滕卡特确实对即将到来的外援十分上心，他也将宝押在了新外援身上，“我们需要新的活力，要有新的外援来激活球队。我们找的外援都是有能力的球员，他们能够真正帮助球队。我认为，新外援给队伍带来的影响要大于他们自身的影响力，因为他们的加盟可以提升球队的实力，帮助队员们获得信心。”从滕卡特这番表态可以看出，鲁能的新外援基本上已经敲定，３位洋将一旦确认合同，那么会在下周赶到济南与队伍会合。Ｈ绻新外援能在下周到位，那么也就意味着鲁能不会引进欧洲杯的参赛球员，那么此前在网上传得有鼻子有眼的克罗地亚前锋耶拉维奇和瑞典“小伊布”托伊沃宁加盟鲁能的说法也就变成了一厢情愿。毕竟欧洲杯激战正酣，他们无论如何也不可能在下周就到济南。鲁能俱乐部有关人士随后也证实了这一点，“据我所知，确实没有网上说的这两名球员。”７ū妊桥岛桶卤饶扇毕泰山队两个客场比赛，也说明他们将被清洗，而鲁能这次将引进３名外援，用满外援名额，这三个新外援分别是前锋、组织型中场和中后卫，他们的到来将串联起泰山队的三条线。
体育	波什：在猛龙输球磨练了我　感谢一直质疑我的人	雅虎体育讯　热火夺冠之后，多数人将注意力放在了勒布朗身上，但作为三巨头之一，克里斯－波什在今年总决赛中的表现也是可圈可点。相比于先前，他已然成长为队中不可或缺的角色。对于自己今天的成就，波什谈到了自己在猛龙的时光，称正是在那里的磨练，才让自己走到了今天的高度。！八凳祷霸诿土的那段时期并不是我最好的时期，”波什说道，“我们在很多个赛季里一直输球，不过我们同时也在那里获得了很多快乐。”Ｔ诩尤肴然鹬前，波什在猛龙待了整整７个赛季，这与勒布朗在骑士所待的时间是一样的。但比起勒布朗，波什的那段日子显然要悲惨的多，从２００３年进入联盟，一直到２００７年他才初尝季后赛的味道。要知道那一年，勒布朗已经生涯第一次杀入总决赛。Ｕ个猛龙时期，波什一共就进入过两次季后赛，分别在首轮被篮网和魔术淘汰。在这当中，波什的个人能力并无多少问题，特别是２００８年，他５场季后赛场均贡献２４．０分、９．０个篮板和３．６次助攻，投篮命中率达到了４７．２％。但遗憾的是，他并不能带领球队走得更远。！拔以谀抢锖芎玫啬チ妨俗约海当我每晚在场馆内进进出出的时候，看到身边发生的一切，其实并不太容易去面对。但是每一年我都充分相信自己的球队，我信任所有事情，保持努力。关于这样的特性，我就是在那里建立起来的。”波什说道。Ｕ夂苋菀兹萌肆想到波什上赛季的表现，当时外界有不少对他的质疑，他也清楚这一点。换做别人，也许会出现负面情绪，但是他明白，只有更努力地去证明自己，才会让那些否定者闭嘴。！拔曳浅Ｅ力地去训练，这是我一贯的态度。所以我要感谢那些质疑我的人们，向他们脱帽致敬，因为是他们给了我额外的动力。”波什说道。Ａ硗猓波什还谈到了热火刚刚组建三巨头时的情况，他们成为了联盟的公敌，几乎所有人都反对他们。整个美国除了迈阿密，到处都是嘘他们的球迷。！拔颐且记得那些困难的时光，当我们处于低谷、所有人都排除我们的时光。但是无论我们有多少次被击倒，我们都会卷土重来，在比赛中证明自己。”
体育	陈刚谏言让惠若琪休息　田宗琦：祈福她千万别伤	北京时间６月１５日，２０１２年世界女排大奖赛第二周佛山站展开首轮争夺，中国女排不出意外以３－０完胜“海峡姐妹”中华台北。本场比赛，央视评论员田宗琦与前八一男排主帅陈刚指导带来精彩点评。Ｑ呕⑻逵讯　回顾上周比赛，陈刚指导直指中国队主要利用澳门站练兵，与阿根廷与泰国较量主要是进入状态较慢，不足主要是发垫，主要指标上来了就势不可挡的。同时，他还对比出两位接应的表现：“曾春蕾是强力进攻，一传和防守不如张磊全面，张磊在奥运赛场应该是首发的。”另外，对于本场与中华台北女排这场比赛，表示中华台北队是半专业水平，是一支学生军，中国队这场比赛主要是练兵，对手是后天的波兰队。１热伊始，陈刚指导谏言：“跟中华台北女排打，应该针对性地练习一些技战术，赢是不在话下的，要大胆尝试技战术。”在马蕴雯和米杨拦网得分后，陈刚指导言及“三个拦网（台北女排）都没有过来，咱们个子太高了”，随后看到中华台北女排一传极其稳定，对其称赞道“中华台北女排一传百分之百到位”。由于台北女排聘请的是日本教练，言及她们的风格肯定在后防上。Ｖ芯种时，看到中华台北女排小球串联失误较多，言道“泰国女排（中华台北）的防守不错，但保护不行，按说个子小，应该是保护不错的。”此后，陈刚指导再次出现口误，或许对泰国女排过于关注，直言：“泰国女排（中华台北）应多打打平打技术，那么小的个子，应多练练平打。”？吹街泄队场上表现不够果断，陈刚指导表示：“中国队状态没有打出来，可能是对手太弱了，队员没有调动出来。”之后，范琳琳进攻不畅，陈刚指导言及范琳琳应该多加强上肢的力量，不能总是这么拍，范琳琳比较全面，能垫点球，发球也不错，可能是想法太多，年轻队员想法太多影响她的发挥。Ｊ拙趾蠖危曾春蕾替换张磊上场以求练兵，陈刚指导对这一换人给予认同，认为张磊有伤，加上是老队员，打这种比赛不兴奋，曾春蕾就是串联差一点，进攻没问题，发球也不错。另外，他还言道：“这场比赛也应该让惠若琪下来，杨婕作为替补能够顶住，打这种比赛完全没问题。”随之，田宗琦补充道惠若琪由于接六轮一传，确实很辛苦。”４尉种谢台北女排率先在开局打出一个５－２的比分领先，陈刚指导表示：“台北队打疯了，因为这几个球下球了。”之后，就场上二传米杨的表现，田宗琦直言作为一个二传敢传比不敢传要好，如果在思想上胆怯了就不行了。Ｔ谥泄队开局发挥不畅时，田宗琦表示对于球迷来讲应该接受这样的过程，这样的过程无所谓，中国的球迷就怕比赛打得太难看，这种比赛哪怕打得太难看也无所谓，主要是以练兵为主。之后，陈刚指导讲出其中原因：“她们这些替补主要都是教练的考核范围，都想打好比赛。”１热间隙，看到惠若琪在场上疲于奔命，田宗琦不由感慨到现在大家应该给惠若琪祈福，保佑她在奥运会之前千万不要受伤，因为她肩部曾经有过受伤，每场比赛要接六轮一传确实很辛苦，虽然范琳琳和杨婕也能够接一传，但整体素质还是不如惠若琪。Ｌū迸排场上进攻屡屡受阻，田宗琦此时调侃道：“中华台北女排是亚洲的身高欧美的打法，进攻打起来都是屋顶球，跳起来都像是加莫娃在打。”Ａ取两捷后，中国队在第三局开局逐渐拉大比分差距，惠若琪反击命中后，陈刚指导赞叹道惠若琪的上肢力量能够跟得上。而在随后谈到本场比赛副攻与二次的配合不够娴熟时，陈刚指导表示米杨一直以来是跟替补磨合的，魏秋月是主力，所以米杨跟主力磨合不够多。随后，就替补问题，补充出：“楚金玲和杨婕本场比赛没有上，应该上来打打。”Ｈ缙渌愿，楚金玲在第三局后段替换范琳琳登场，但由于表现欠佳，陈刚指导言道：“老队员还是对她的调动不够，如果换上杨婕就不一样了。”而对于本场比赛比分结果，陈刚指导给出自己看法，表示台北队比分应该被控制在１５分以下，１２分算是正常的，中国队打得对手比分太多，这场比赛应该练点东西，由于对手太弱，队员们调动不够。言外之意中国队这场比赛没有充分发挥水准。
体育	德米特里·安德雷德	姓名：德米特里·安德雷德Ｓ⑽模海模澹恚澹簦颍椋酰蟆。粒睿洌颍幔洌妪９籍：美国３錾日期：１９８８．２．２６Ｏ钅浚喝击Ｌ氐悖河沂种厝＝樯荦Ｋ淙徊牛玻八辏这名美国拳击手已经有了很长的拳击生涯，也不缺乏野心。这名次中量级选手希望在北京赢得金牌，然后转为职业拳击手。他在父亲保罗的空手道学校开始学习拳击。学校关门后，他父亲把６岁的他带入了拳击运动。他是罗德岛人，绰号是“ＢｏｏＢｏｏ”。他每天都要在体育馆进行２小时的训练，包括拳击、举重、仰卧起坐、俯卧撑和跑步。训练之余，他喜欢美式足球。这名右手拳手和他在奥林匹克训练中心的室友劳希·瓦伦一起参加了２００７年世锦赛，并获得了冠军，成为八年来第一个为美国赢得世锦赛的选手。Ｖ匾成绩＃玻埃埃纺晔澜跞冠军＃ㄊ迪氨嗉：孙雪）
体育	亚瑟已同意和灰熊续约　黑八悍将伤停一年仍留队	北京时间２０１２年７月９日，据孟菲斯本地的一个电台记者爆料，达雷尔－亚瑟已经同意和球队续约，双方合同为期三年（其中第三年带有选项），总价格在９００万美元到１０００万美元之间。Ｔ谛约亚瑟之后，灰熊队的内线实力也得到了保障，因为在这之前他们还续约了另外一个内线斯贝茨。现在灰熊保持了兰多夫、马克－加索尔、亚瑟、斯贝茨和康宁汉姆等五大内线，在联盟中的实力也是首屈一指。４锢锥－亚瑟，１９８８年３月份出生的大前锋，身高２米０６，毕业于堪萨斯大学。２００８年首轮第２７顺位被选中，随即被交易到了灰熊队，此后一直在这里打球。＃玻埃保埃１１赛季，亚瑟作为内线的第三人帮助灰熊取得了黑八奇迹，这个赛季他场均有９．１分和４．３个篮板球入账，命中率４９．７％。如果按照３６分钟数据计算的话，亚瑟达到了１６．３分和７．７个篮板球。＃玻埃保保１２赛季亚瑟因为受伤而整个赛季报销，无缘灰熊队的大名单，灰熊只好交易来了斯贝茨救济。不过亚瑟的实力还是得到了灰熊队的认可，他和斯贝茨都得到了球队开出的报价合同，成为了受限制自由球员。与他们作为对比的是，曾经作为球队重点培养对象的梅奥没有得到报价合同。Ｗ钪昭巧和斯贝茨两大内线都和球队续约，灰熊保持了他们在联盟称雄的基础。
